epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,0110,0.528655797034502,0.2842704895570749,0.9090789473684211,0.9090083712581338,0.9099206871262697,0.9090789473684211,5.828542552496258,42531652
2,0110,0.19054722375944258,0.257897262054519,0.9175,0.9173116674932188,0.9184582903528261,0.9175,5.326412759329143,42531652
3,0110,0.11151468780698875,0.26861839684923844,0.9211842105263158,0.9211438261585421,0.9211963440877409,0.9211842105263158,5.951161761032908,42531652
4,0110,0.06397050298084504,0.31327191136480004,0.9207894736842105,0.9207746160685564,0.9207718067063713,0.9207894736842105,10.200530071007577,42531652
