generation,rank,fitness,f1,latency,params,depth,gen_time_min,genotype
0,0,0.7382481896279024,0.7382481896279024,0.007993101125694667,42531909,4,91.00114277203878,"[0, 1, 1, 0]"
0,1,0.7215632474205914,0.7215632474205914,0.013571057451550475,47441541,6,91.00114277203878,"[0, 1, 0, 0, 1, 0]"
0,2,0.7182141370544186,0.7182141370544186,0.010206448254337506,43609445,5,91.00114277203878,"[0, 0, 0, 1, 1]"
0,3,0.7017996049878411,0.7017996049878411,0.03240778390550686,66236741,14,91.00114277203878,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]"
0,4,0.6800492869678532,0.6800492869678532,0.035868408798705786,70724709,16,91.00114277203878,"[1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]"
0,5,0.6787329748896204,0.6787329748896204,0.013554485864831092,47441541,6,91.00114277203878,"[1, 0, 0, 0, 0, 1]"
0,6,0.668183267673106,0.668183267673106,0.015732755142905553,48519077,7,91.00114277203878,"[0, 0, 0, 1, 0, 0, 1]"
0,7,0.6664832520588285,0.6664832520588285,0.01861205874037924,55995813,10,91.00114277203878,"[1, 1, 1, 1, 0, 0, 0, 0, 1, 0]"
0,8,0.6656078081066791,0.6656078081066791,0.019716603228835554,53007045,9,91.00114277203878,"[0, 0, 0, 0, 1, 0, 0, 1, 1]"
0,9,0.6629260136388854,0.6629260136388854,0.004370190238819539,42110245,4,91.00114277203878,"[0, 1, 1, 1]"
0,10,0.6606444296803762,0.6606444296803762,0.009968304942114778,43609445,5,91.00114277203878,"[0, 1, 0, 1, 0]"
0,11,0.660283280737517,0.660283280737517,0.012220882195496293,55152485,10,91.00114277203878,"[1, 0, 1, 1, 1, 1, 0, 0, 1, 1]"
0,12,0.6592966038234221,0.6592966038234221,0.01689916625134371,59640453,12,91.00114277203878,"[1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]"
0,13,0.6582528838410973,0.6582528838410973,0.036604589720697085,75025221,19,91.00114277203878,"[1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0]"
0,14,0.6553177312296713,0.6553177312296713,0.033531159654736145,73526021,18,91.00114277203878,"[1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 0, 1]"
0,15,0.6527522689715293,0.6527522689715293,0.004924410376016689,42766117,5,91.00114277203878,"[0, 1, 1, 1, 1]"
0,16,0.6508418773065775,0.6508418773065775,0.019120611048398958,52351173,8,91.00114277203878,"[0, 1, 0, 0, 0, 1, 0, 0]"
0,17,0.6496159843284776,0.6496159843284776,0.026742682495282256,73760229,19,91.00114277203878,"[0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1]"
0,18,0.6483537666509961,0.6483537666509961,0.03909948205246204,78435653,20,91.00114277203878,"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1]"
0,19,0.645269604288581,0.645269604288581,0.02520708055937538,57916677,11,91.00114277203878,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1]"
0,20,0.6445970482577489,0.6445970482577489,0.01571092976211599,48519077,7,91.00114277203878,"[0, 1, 0, 0, 0, 1, 0]"
0,21,0.6442274379118214,0.6442274379118214,0.009006311025211862,50664517,8,91.00114277203878,"[0, 1, 1, 1, 1, 1, 0, 1]"
0,22,0.6357987970364471,0.6357987970364471,0.03953659076871622,71568037,16,91.00114277203878,"[0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0]"
0,23,0.6274766566605329,0.6274766566605329,0.015639339491770574,51507845,8,91.00114277203878,"[1, 0, 1, 0, 1, 0, 0, 1]"
0,24,0.6264608760468449,0.6264608760468449,0.024607112931841313,61139653,13,91.00114277203878,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1]"
