epoch,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,0.4652703651065628,0.25872321699221595,0.9164473684210527,0.91595162142705,0.9167428152815578,0.9164473684210527,3.3628532365590584,69459460
2,0.16013395385382076,0.24582687673010245,0.925,0.9249684999682871,0.9257669589738587,0.925,3.9205252498137853,69459460
3,0.06453892571497709,0.319048380655307,0.9205263157894736,0.920643102243814,0.9209174466316254,0.9205263157894736,3.864128956524264,69459460
4,0.01992021581050552,0.4028633196296233,0.9194736842105263,0.9194033914559624,0.9193796426650522,0.9194736842105263,3.272377048470393,69459460
