generation,rank,fitness,f1,latency,params,depth,gen_time_min,genotype
0,0,0.8035730975325144,0.8035730975325144,0.003127567277896026,57494756,11,10.20429487625758,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0]"
0,1,0.8031285601201235,0.8031285601201235,0.0011969066394995603,42953316,4,10.20429487625758,"[0, 1, 0, 0]"
0,2,0.7932420148628984,0.7932420148628984,0.0026553844911090677,56651428,11,10.20429487625758,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1]"
0,3,0.784520812779026,0.784520812779026,0.0011364119145871392,42531652,4,10.20429487625758,"[0, 1, 0, 1]"
0,4,0.7793639842108309,0.7793639842108309,0.0029318113608049257,56651428,11,10.20429487625758,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 0]"
0,5,0.7789134864982253,0.7789134864982253,0.0016451478863711514,44030852,5,10.20429487625758,"[1, 0, 0, 0, 0]"
0,6,0.7750817983477186,0.7750817983477186,0.002013141257477747,51507588,8,10.20429487625758,"[0, 1, 0, 0, 1, 1, 0, 1]"
0,7,0.7695772986952525,0.7695772986952525,0.0024234553224348004,51929252,8,10.20429487625758,"[1, 0, 1, 0, 0, 1, 0, 0]"
0,8,0.7660601165843527,0.7660601165843527,0.0014823927702973523,44030852,5,10.20429487625758,"[0, 0, 0, 0, 1]"
0,9,0.7620022184772699,0.7620022184772699,0.002188190328611416,51507588,8,10.20429487625758,"[0, 0, 1, 1, 0, 0, 1, 1]"
0,10,0.7551006763010016,0.7551006763010016,0.002165227275182833,48518820,7,10.20429487625758,"[0, 0, 0, 1, 0, 1, 0]"
0,11,0.7484173511297547,0.7484173511297547,0.0038563933843443732,65393156,14,10.20429487625758,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1]"
0,12,0.7402026919401866,0.7402026919401866,0.004848284735566094,71380324,17,10.20429487625758,"[0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]"
