generation,rank,fitness,f1,latency,params,depth,genotype
1,0,0.18933139299681515,0.6134345151488158,0.11784185600280762,69459460,5,"[1, 0, 0, 1, 1]"
1,1,0.18740252301324703,0.5934684972756163,0.10430310201644898,69459460,4,"[0, 0, 0, 1]"
1,2,0.17555294062577143,0.5715495662074844,0.10189548492431641,69459460,4,"[1, 0, 0, 1]"
1,3,0.17504597953021206,0.569893226791961,0.10119060134887695,69459460,4,"[1, 1, 1, 1]"
1,4,0.16725393323879148,0.5618366651169998,0.10531954908370972,69459460,4,"[1, 0, 0, 1]"
1,5,0.15926461847451767,0.5624287256086904,0.11767572546005249,69459460,5,"[1, 0, 1, 0, 1]"
1,6,0.15013749589093786,0.532246239636888,0.10525948429107666,69459460,4,"[0, 0, 1, 0]"
1,7,0.14374675664474243,0.5177762124852252,0.10244522094726563,69459460,4,"[0, 1, 0, 0]"
1,8,0.13730688719061415,0.5025747491397033,0.09911422348022461,69459460,4,"[1, 0, 1, 1]"
1,9,0.13359569460984913,0.4988841370474276,0.10217816352844239,69459460,4,"[0, 0, 1, 1]"
1,10,0.13069411720215132,0.5556642227305595,0.15966933870315553,69459460,6,"[0, 1, 0, 1, 1, 1]"
1,11,0.12988805161995673,0.4982991427777614,0.10842213296890259,69459460,4,"[0, 0, 1, 0]"
1,12,0.12856385570507808,0.490205778080304,0.10297566652297974,69459460,4,"[0, 0, 0, 0]"
1,13,0.12593758655128467,0.5097803676729229,0.12692405700683593,69459460,5,"[0, 0, 1, 1, 0]"
1,14,0.12351404019373402,0.482954250700187,0.10545989847183228,69459460,4,"[0, 1, 1, 1]"
1,15,0.11621443379699267,0.49724280239318486,0.13431712865829468,69459460,5,"[0, 0, 0, 1, 1]"
1,16,0.10475070425866095,0.4599693253216309,0.1217356481552124,69459460,5,"[1, 1, 0, 1, 1]"
1,17,0.08902326397731791,0.4219157049140333,0.11930980634689331,69459460,5,"[1, 0, 0, 1, 0]"
1,18,0.08592791024269379,0.4624523931214785,0.17228137588500977,69459460,7,"[1, 1, 0, 0, 1, 0, 1]"
1,19,0.07433218265598027,0.4668657391933442,0.21196455240249634,69459460,8,"[0, 1, 0, 0, 1, 1, 0, 1]"
2,0,0.171806180553518,0.57403001682022,0.10218142461776733,69459460,4,"[1, 1, 0, 1]"
2,1,0.16648470196991177,0.5788260644691859,0.11307440137863159,69459460,4,"[1, 0, 0, 1]"
2,2,0.16604295562972274,0.5702672957765574,0.1069294080734253,69459460,4,"[0, 0, 0, 1]"
2,3,0.1619822982021163,0.558011934810229,0.10269709682464599,69459460,4,"[0, 0, 1, 0]"
2,4,0.14904452309597008,0.556170623767785,0.12004994630813598,69459460,5,"[0, 0, 1, 1, 1]"
2,5,0.14826795651305658,0.5369032129273863,0.10526518726348877,69459460,4,"[0, 0, 0, 1]"
2,6,0.14193965935751013,0.546881094410577,0.12348185920715332,69459460,5,"[0, 0, 0, 1, 0]"
2,7,0.13362813796473882,0.5155663203628141,0.11044093704223633,69459460,4,"[1, 0, 1, 0]"
2,8,0.1322691206874775,0.5094832083681203,0.10738032674789429,69459460,4,"[1, 1, 0, 1]"
2,9,0.12778355851650328,0.49596192681688833,0.1030111312866211,69459460,4,"[1, 1, 1, 1]"
2,10,0.12298576506807928,0.5256507419367961,0.1380071063041687,69459460,5,"[1, 0, 0, 1, 1]"
2,11,0.12231126598340092,0.4899201682078845,0.10737140607833863,69459460,4,"[1, 0, 1, 1]"
2,12,0.12137910431154787,0.49386936360282585,0.11273987483978272,69459460,4,"[1, 0, 0, 1]"
2,13,0.11640688343296997,0.4744230186958504,0.10401804828643799,69459460,4,"[1, 0, 0, 1]"
2,14,0.10305865195394372,0.4518749663258551,0.10954460573196412,69459460,4,"[1, 0, 1, 0]"
2,15,0.09631422400870587,0.43991730056673445,0.11272496747970581,69459460,4,"[0, 1, 1, 0]"
2,16,0.08658751441779004,0.4182904813025586,0.11400191879272462,69459460,4,"[1, 0, 0, 1]"
2,17,0.08486222752410223,0.4105873900192573,0.11014145278930663,69459460,4,"[1, 0, 1, 1]"
2,18,0.07505805142551018,0.38024570156773546,0.10317258167266846,69459460,4,"[0, 0, 1, 1]"
2,19,0.06439793343926653,0.39772967739242937,0.15821920776367188,69459460,6,"[0, 1, 1, 0, 1, 1]"
3,0,0.17760493985489634,0.5955776833738021,0.11100393390655518,69459460,4,"[0, 1, 0, 1]"
3,1,0.16365324434496428,0.5629768058326597,0.10405697536468506,69459460,4,"[0, 0, 1, 1]"
3,2,0.1634894259541463,0.5991311023781909,0.1323833212852478,69459460,5,"[0, 0, 0, 0, 1]"
3,3,0.1590404833127633,0.5632955988714304,0.11076652193069458,69459460,4,"[1, 1, 0, 1]"
3,4,0.1573917335407498,0.5580232907604133,0.10887335968017578,69459460,4,"[1, 0, 1, 1]"
3,5,0.15635436114683382,0.5521899583716882,0.10562181234359741,69459460,4,"[1, 0, 0, 1]"
3,6,0.15449163761979812,0.5459626025857329,0.10320685148239135,69459460,4,"[1, 1, 0, 1]"
3,7,0.15359196763191743,0.5476802216704816,0.10594334363937379,69459460,4,"[1, 1, 1, 1]"
