epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,00000,0.5118408417403698,0.2649403926329452,0.9123684210526316,0.9123937951251916,0.9133190982667678,0.9123684210526316,1.456356174067447,44452516
2,00000,0.1822123345596095,0.24634319519577155,0.9206578947368421,0.9206378043616114,0.9206616693358876,0.9206578947368421,2.5814663109026457,44452516
3,00000,0.09557082051181545,0.28722458843047877,0.9207894736842105,0.920644338287917,0.9205721046726657,0.9207894736842105,3.7500358255285966,44452516
4,00000,0.044581637112695416,0.3390592139227973,0.9185526315789474,0.9184617967065158,0.9184121267561012,0.9185526315789474,3.8395289057179505,44452516
