epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,00000,0.52953521583577,0.279005114356948,0.9092105263157895,0.9084937571898829,0.9089390366148195,0.9092105263157895,12.522500972998769,44452516
2,00000,0.1889655823295315,0.2458990652372419,0.9217105263157894,0.921480009887624,0.921452197430621,0.9217105263157894,3.3717434029830127,44452516
3,00000,0.10208664642355095,0.2769899757524185,0.9201315789473684,0.9199772488039961,0.9199004794138802,0.9201315789473684,1.8771880865097046,44452516
4,00000,0.04985964317528221,0.3229266778730294,0.9230263157894737,0.9228623333276299,0.9228058483680565,0.9230263157894737,1.8099437889299896,44452516
