epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,11110111000,0.507134915548563,0.255329307685254,0.9135526315789474,0.9135317332637712,0.9138668368445144,0.9135526315789474,4.494182796788817,50562660
2,11110111000,0.17318229141856234,0.26391162819565595,0.920921052631579,0.9208992171762399,0.9212671154858196,0.920921052631579,1.5091909205212313,50562660
3,11110111000,0.08738551773303188,0.32212178629212584,0.920921052631579,0.9208564479459489,0.9211399085054575,0.920921052631579,1.4753090295971942,50562660
4,11110111000,0.040271443618302386,0.4047831964019702,0.9180263157894737,0.9180337963367478,0.9180970080068664,0.9180263157894737,1.5113491471074207,50562660
