epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,01001,0.5747500100920597,0.28944362284412156,0.9103947368421053,0.9101292322918367,0.9108816913834744,0.9103947368421053,0.28786848948783234,38176292
2,01001,0.1919893237883846,0.2724836250892332,0.9180263157894737,0.917964800205661,0.9179316847739492,0.9180263157894737,0.29486921780249653,38176292
3,01001,0.10806421419903636,0.30884220330396805,0.9190789473684211,0.9189935574996262,0.9189494464824717,0.9190789473684211,0.30413633134184764,38176292
4,01001,0.06108138533916014,0.3628548976980901,0.9181578947368421,0.9181095046630113,0.918118060004582,0.9181578947368421,0.2708096338921234,38176292
