generation,rank,fitness,f1,latency,params,depth,gen_time_min,genotype
0,0,0.7541134060988345,0.7541134060988345,0.001688979939802827,43187524,5,22.497710061073303,"[0, 0, 1, 1, 1]"
0,1,0.7488128835065055,0.7488128835065055,0.003984817398459393,47675492,7,22.497710061073303,"[0, 1, 1, 1, 0, 1, 0]"
0,2,0.7485106479911228,0.7485106479911228,0.00419305510226974,48518820,7,22.497710061073303,"[0, 0, 0, 1, 0, 1, 0]"
0,3,0.7476051241256638,0.7476051241256638,0.002685115796184425,47675492,7,22.497710061073303,"[1, 0, 0, 1, 1, 0, 1]"
0,4,0.7426168349937394,0.7426168349937394,0.011129379327882062,69881124,16,22.497710061073303,"[1, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]"
0,5,0.7404183311174791,0.7404183311174791,0.013100299184790198,75212420,18,22.497710061073303,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1]"
0,6,0.7360398517089378,0.7360398517089378,0.00650509616528499,53428452,9,22.497710061073303,"[0, 0, 0, 0, 1, 0, 0, 0, 1]"
0,7,0.735195048910105,0.735195048910105,0.009746446439865084,69272004,17,22.497710061073303,"[1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0]"
0,8,0.734392495491477,0.734392495491477,0.008219037249255826,64549828,14,22.497710061073303,"[0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0]"
0,9,0.7338324117699376,0.7338324117699376,0.009699238667963073,70302788,16,22.497710061073303,"[0, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0]"
0,10,0.7333780141105987,0.7333780141105987,0.009942483690696115,68616132,16,22.497710061073303,"[1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0]"
0,11,0.7268226667482959,0.7268226667482959,0.007512520875799113,61561060,13,22.497710061073303,"[1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0]"
0,12,0.7265607936886029,0.7265607936886029,0.004563718074387772,47675492,7,22.497710061073303,"[1, 0, 1, 1, 0, 1, 0]"
0,13,0.72643792492175,0.72643792492175,0.003332976891505631,47441284,6,22.497710061073303,"[0, 0, 1, 0, 1, 0]"
0,14,0.7059409430329597,0.7059409430329597,0.008987158761072428,73759972,19,22.497710061073303,"[1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1]"
0,15,0.7054544276665444,0.7054544276665444,0.004862836306354903,56651428,11,22.497710061073303,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0]"
0,16,0.7030243710400552,0.7030243710400552,0.0031914129420406523,42531652,4,22.497710061073303,"[1, 0, 1, 0]"
0,17,0.6918304951206276,0.6918304951206276,0.007207463027295122,65627364,15,22.497710061073303,"[1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1]"
0,18,0.6911372269958987,0.6911372269958987,0.005274557865204963,56417220,10,22.497710061073303,"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1]"
0,19,0.6907054949478655,0.6907054949478655,0.01138369854201533,68616132,16,22.497710061073303,"[1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0]"
0,20,0.6855031451631447,0.6855031451631447,0.006092614106316258,51741796,9,22.497710061073303,"[0, 1, 1, 1, 1, 0, 1, 1, 0]"
0,21,0.6647760173259853,0.6647760173259853,0.0038952678389366758,51085924,8,22.497710061073303,"[1, 1, 1, 1, 1, 0, 0, 0]"
0,22,0.6641820496390872,0.6641820496390872,0.004616103084891678,51085924,8,22.497710061073303,"[1, 1, 1, 1, 1, 0, 0, 0]"
0,23,0.6479510621692827,0.6479510621692827,0.01026989194190506,69037796,16,22.497710061073303,"[1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0]"
0,24,0.6444019687611825,0.6444019687611825,0.01183628020814293,78857060,20,22.497710061073303,"[1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0]"
0,25,0.6412317269562265,0.6412317269562265,0.009374328134420446,66049028,15,22.497710061073303,"[0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0]"
0,26,0.6365645908909716,0.6365645908909716,0.008445613567056035,66470692,15,22.497710061073303,"[0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0]"
0,27,0.6265768608122378,0.6265768608122378,0.008761506796408285,65205700,15,22.497710061073303,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0]"
0,28,0.6244841787545306,0.6244841787545306,0.004649672670255197,59640196,12,22.497710061073303,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0]"
0,29,0.5974013274421547,0.5974013274421547,0.010631478354433907,69693668,17,22.497710061073303,"[1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0]"
1,0,0.7873213092493206,0.7873213092493206,0.004396313587463699,48940484,7,19.540040957927705,"[0, 0, 0, 1, 0, 0, 0]"
1,1,0.780493156493591,0.780493156493591,0.005944446908889655,52350916,8,19.540040957927705,"[0, 0, 1, 0, 0, 0, 1, 0]"
1,2,0.7786038433187747,0.7786038433187747,0.0047932974548336674,47441284,6,19.540040957927705,"[0, 0, 1, 0, 1, 0]"
1,3,0.7762959717622256,0.7762959717622256,0.0028139736786350965,48518820,7,19.540040957927705,"[0, 0, 1, 0, 0, 1, 0]"
1,4,0.7741082684593211,0.7741082684593211,0.0029044483969126768,47019620,6,19.540040957927705,"[0, 0, 1, 1, 1, 0]"
1,5,0.7663804224128901,0.7663804224128901,0.002680827315805103,47675492,7,19.540040957927705,"[0, 1, 1, 1, 0, 1, 0]"
1,6,0.7613813811534113,0.7613813811534113,0.005704428364047187,51929252,8,19.540040957927705,"[1, 0, 0, 1, 1, 0, 0, 0]"
1,7,0.756796259638416,0.756796259638416,0.0013551382924444934,43187524,5,19.540040957927705,"[1, 1, 0, 0, 1]"
1,8,0.7541134060988345,0.7541134060988345,0.001688979939802827,43187524,5,19.540040957927705,"[0, 0, 1, 1, 1]"
1,9,0.7498286214795638,0.7498286214795638,0.014631394814251566,70302788,16,19.540040957927705,"[0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0]"
1,10,0.7449934153548834,0.7449934153548834,0.005922972037954791,52350916,8,19.540040957927705,"[1, 1, 0, 0, 0, 0, 0, 0]"
