generation,rank,fitness,f1,latency,params,depth,genotype,gen_time_min
0,18,0.4961489426525763,0.6804696095838495,0.01918858051300049,55995556,10,"[1, 1, 0, 1, 1, 0, 0, 0, 1, 0]",29.524531535307567
0,19,0.49479766483946247,0.7824104101680361,0.019768943786621095,55995556,10,"[0, 1, 1, 0, 1, 0, 1, 0, 1, 1]",29.524531535307567
1,0,0.5703716479493689,0.8219059248292273,0.007871747016906738,42531652,4,"[1, 0, 0, 0]",19.848318282763163
1,1,0.5683285984927237,0.790909127706436,0.007923736095428466,42531652,4,"[0, 1, 0, 0]",19.848318282763163
1,2,0.5615057359326767,0.7014894890508035,0.00935796594619751,43609188,5,"[1, 1, 0, 0, 1]",19.848318282763163
1,3,0.5598238890162995,0.7656960652886774,0.00792703676223755,42531652,4,"[0, 1, 0, 0]",19.848318282763163
1,4,0.5591027588790787,0.7645677918794227,0.007898225307464599,42531652,4,"[1, 0, 1, 0]",19.848318282763163
1,5,0.5588321056535142,0.7914543956024961,0.009340896129608154,43609188,5,"[1, 1, 0, 0, 1]",19.848318282763163
1,6,0.556951264949229,0.7826521888693981,0.007868674755096436,42531652,4,"[1, 0, 0, 0]",19.848318282763163
1,7,0.5568130356540144,0.8132671291225508,0.00782888698577881,42531652,4,"[1, 0, 0, 0]",19.848318282763163
1,8,0.5562431515376133,0.7928857679895024,0.007872077465057373,42531652,4,"[0, 0, 1, 0]",19.848318282763163
1,9,0.5543199373472977,0.7967461154668567,0.007803861618041992,42531652,4,"[1, 0, 0, 0]",19.848318282763163
1,10,0.5525852639781748,0.7723300730220407,0.009358991622924804,43609188,5,"[0, 0, 0, 0, 1]",19.848318282763163
1,11,0.5523747606501708,0.7595581039533279,0.011806351661682129,47019620,6,"[0, 0, 0, 0, 1, 0]",19.848318282763163
1,12,0.5519107394419769,0.7831102043891369,0.009256957530975342,43609188,5,"[1, 1, 1, 0, 1]",19.848318282763163
1,13,0.5470769675811858,0.7650811136941491,0.009223403453826905,43609188,5,"[0, 0, 0, 0, 1]",19.848318282763163
1,14,0.5457530902587951,0.7931118282540566,0.01172713851928711,47019620,6,"[0, 1, 0, 0, 1, 0]",19.848318282763163
1,15,0.5439780541363127,0.7497082289605904,0.01180703067779541,47019620,6,"[1, 0, 0, 1, 0, 0]",19.848318282763163
1,16,0.5421576830725889,0.7220573970816263,0.00934010934829712,43609188,5,"[0, 1, 1, 0, 1]",19.848318282763163
1,17,0.5402569234447673,0.7723129953272246,0.011776134967803956,47019620,6,"[0, 1, 0, 0, 0, 0]",19.848318282763163
1,18,0.5399039943168249,0.7835150458264691,0.009354389190673829,43609188,5,"[0, 0, 0, 1, 1]",19.848318282763163
1,19,0.5394180191805251,0.7708096142382573,0.008023490905761719,42531652,4,"[0, 0, 0, 0]",19.848318282763163
2,0,0.5915417392845789,0.7883739761941213,0.007801176548004151,42531652,4,"[1, 0, 0, 0]",18.751616275310518
2,1,0.5613463375105786,0.7807065948630404,0.009351156711578369,43609188,5,"[1, 0, 0, 1, 1]",18.751616275310518
2,2,0.5613322254194084,0.7823160349105844,0.011687247276306153,47019620,6,"[0, 1, 1, 0, 0, 1]",18.751616275310518
2,3,0.5584859397679575,0.6792931504690717,0.009327293395996094,43609188,5,"[0, 0, 0, 1, 1]",18.751616275310518
2,4,0.5561515784876568,0.6945380815444111,0.007921996116638184,42531652,4,"[1, 0, 0, 0]",18.751616275310518
2,5,0.5510257415863904,0.7903721894079163,0.007981630325317382,42531652,4,"[0, 0, 0, 0]",18.751616275310518
2,6,0.5491351176252275,0.7952296166400444,0.011845255851745605,47019620,6,"[1, 0, 1, 0, 1, 0]",18.751616275310518
2,7,0.5478529824046463,0.78684476535911,0.007743637084960938,42531652,4,"[1, 0, 1, 0]",18.751616275310518
2,8,0.5460604761742792,0.780555949302444,0.007949491024017334,42531652,4,"[0, 1, 0, 0]",18.751616275310518
2,9,0.5452772272325036,0.774794900707056,0.007978127956390382,42531652,4,"[1, 0, 0, 0]",18.751616275310518
