epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,00001,0.5017349748983979,0.27149179709308285,0.9139473684210526,0.9136692543451439,0.9136206082944022,0.9139473684210526,3.7762791545767533,44030852
2,00001,0.18807960671037435,0.26282237331625546,0.921578947368421,0.9215181319719613,0.921548900850757,0.921578947368421,3.8577972587786222,44030852
3,00001,0.10568077720260868,0.3013269094898984,0.9193421052631578,0.9193143690332876,0.919732677840992,0.9193421052631578,3.8879387629659554,44030852
4,00001,0.054314367193938236,0.3579127783945785,0.9189473684210526,0.91887558678043,0.9188709230970713,0.9189473684210526,1.4878052473068237,44030852
