epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,0011,0.5208390130231778,0.2943026535682568,0.9044736842105263,0.9043355623505939,0.9065520638225207,0.9044736842105263,3.867082501712598,42531652
2,0011,0.1939527241098384,0.2741886630356938,0.9153947368421053,0.9152037616565344,0.915972845014208,0.9153947368421053,4.03781815579063,42531652
3,0011,0.11307844547145068,0.29846696764770736,0.9180263157894737,0.9179547813493173,0.9183021380917343,0.9180263157894737,4.03840864959516,42531652
4,0011,0.06352854611311728,0.35058172938351306,0.9189473684210526,0.918872556906529,0.9188559895713146,0.9189473684210526,4.0465626904838965,42531652
