epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,0001,0.5045930947815378,0.27521167157076987,0.9125,0.9124064166436388,0.9131935406857511,0.9125,8.171079503862481,42953316
2,0001,0.18755152676329018,0.26356061821130394,0.9185526315789474,0.9186459495316065,0.9188914804547379,0.9185526315789474,10.09227526815314,42953316
3,0001,0.10582819671221078,0.2995832688742544,0.9190789473684211,0.9189806363515639,0.9192943800321989,0.9190789473684211,3.569943214717664,42953316
4,0001,0.055880827986309306,0.36390762762733964,0.9152631578947369,0.9152256607348503,0.9152458330531816,0.9152631578947369,3.4256004659753096,42953316
