epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,00000,0.5134480478723844,0.2638088636366384,0.9152631578947369,0.9149642344779161,0.9148511999155717,0.9152631578947369,34.27217900753021,44452516
2,00000,0.18135365395781894,0.2425860726438901,0.9218421052631579,0.9216192177295239,0.92209558246262,0.9218421052631579,33.793714398346026,44452516
3,00000,0.09696271296609194,0.2764033499484913,0.9207894736842105,0.9206699872116934,0.9205966812099188,0.9207894736842105,33.85990397895083,44452516
4,00000,0.04523553564893082,0.3292913406245027,0.9202631578947369,0.9201114345344846,0.9200273556365547,0.9202631578947369,33.95330943480259,44452516
