generation,rank,fitness,f1,latency,params,depth,gen_time_min,genotype
0,0,0.8358922675870629,0.8358922675870629,0.004206734342547629,56838884,10,37.647926366329195,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 1]"
0,1,0.821841876744308,0.821841876744308,0.003713060713477155,55995556,10,37.647926366329195,"[0, 0, 0, 1, 0, 1, 1, 1, 1, 0]"
0,2,0.8211580144493663,0.8211580144493663,0.004677550141771443,64784036,15,37.647926366329195,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1]"
0,3,0.8200233244656767,0.8200233244656767,0.0038897873594752573,56229764,11,37.647926366329195,"[0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1]"
0,4,0.8178809353174629,0.8178809353174629,0.0033519313793921686,57073092,11,37.647926366329195,"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]"
0,5,0.8163110927563857,0.8163110927563857,0.005659684253685632,65627364,15,37.647926366329195,"[1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1]"
0,6,0.8108572593608047,0.8108572593608047,0.004505698846843827,60717732,13,37.647926366329195,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1]"
0,7,0.8094608942674067,0.8094608942674067,0.0046918088164022,60905188,12,37.647926366329195,"[1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
0,8,0.8089471105221647,0.8089471105221647,0.004380395999450752,60483524,12,37.647926366329195,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1]"
0,9,0.8055578797212821,0.8055578797212821,0.003696291130952577,61326852,12,37.647926366329195,"[0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0]"
0,10,0.802367468083013,0.802367468083013,0.004804220042213738,66049028,15,37.647926366329195,"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0, 0, 1]"
0,11,0.8023083873641753,0.8023083873641753,0.005029372042701381,70115332,17,37.647926366329195,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 1]"
0,12,0.7996631319653278,0.7996631319653278,0.004395174163832091,60717732,13,37.647926366329195,"[0, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1]"
0,13,0.7972522155638929,0.7972522155638929,0.004059935329194637,55995556,10,37.647926366329195,"[1, 0, 1, 0, 1, 0, 0, 1, 1, 0]"
0,14,0.7952707971004696,0.7952707971004696,0.004131063262553034,62170180,12,37.647926366329195,"[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
0,15,0.7911926045754714,0.7911926045754714,0.0048468302272166065,64971492,14,37.647926366329195,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
0,16,0.7904234175071776,0.7904234175071776,0.004499407804650354,62404388,13,37.647926366329195,"[0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]"
