epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,0101,0.5182358960747718,0.273858271367034,0.9101315789473684,0.9100561824233294,0.9101750554985172,0.9101315789473684,2.0784634351730347,42531652
2,0101,0.19043212234626214,0.252125832173942,0.9234210526315789,0.9234242625937744,0.9235701298097558,0.9234210526315789,2.1393136915407682,42531652
3,0101,0.10945071040885523,0.3004821516502993,0.92,0.9199111365725261,0.9198642678652059,0.92,1.912885214153089,42531652
4,0101,0.05979961275619765,0.34212833972346474,0.9201315789473684,0.9200913174696942,0.9201351162246292,0.9201315789473684,2.621350884437561,42531652
