epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,0101,0.5218780370508631,0.27002861046334026,0.9098684210526315,0.909576875087778,0.9108207272857541,0.9098684210526315,2.984092266936051,42531652
2,0101,0.18855939828902482,0.2544425248301455,0.9192105263157895,0.9192689623277797,0.9197921904250635,0.9192105263157895,3.010720108684741,42531652
3,0101,0.10833481424249088,0.2899617088074256,0.9190789473684211,0.9190496370282785,0.9191592119427014,0.9190789473684211,3.051249290767469,42531652
4,0101,0.05953982512820512,0.3395287855000024,0.9201315789473684,0.9200548527666084,0.9200029567265734,0.9201315789473684,1.259761797754388,42531652
