epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,1110,0.5551851837466161,0.2940022003124742,0.9003947368421052,0.8999724655678246,0.9009887718344807,0.9003947368421052,2.947823122928017,42109988
2,1110,0.1956847908258438,0.26587514342356694,0.9180263157894737,0.917622447746054,0.9178763487590782,0.9180263157894737,2.9413514388234994,42109988
3,1110,0.11251389752446363,0.29291747826613296,0.9185526315789474,0.9184116831417781,0.9183535288162386,0.9185526315789474,2.958035845505564,42109988
4,1110,0.06549464294961653,0.3371873896871302,0.9182894736842105,0.9181610035163466,0.9181166472450051,0.9182894736842105,2.943778351733559,42109988
