epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,0001,0.5034677205701669,0.2738597975308154,0.9131578947368421,0.9131882715142356,0.9135447009377431,0.9131578947368421,32.28132244787718,42953316
2,0001,0.18799521094560623,0.258357147474875,0.9218421052631579,0.9218247482425123,0.9218843682668616,0.9218421052631579,32.02163053186316,42953316
3,0001,0.10606867178765436,0.30719174985272985,0.9211842105263158,0.9210441629313063,0.9211975565598209,0.9211842105263158,32.451800641260654,42953316
4,0001,0.05543728078968513,0.35665719956110675,0.9180263157894737,0.9179387334372329,0.9179064358333375,0.9180263157894737,32.365836908942775,42953316
