epoch,genotype,train_loss,test_loss,accuracy,f1_weighted,precision,recall,latency_ms_per_doc,params
1,0010,0.5197999610890944,0.28213146111356613,0.9069736842105263,0.9065835293714708,0.9069269335419281,0.9069736842105263,7.902567825819316,42953316
2,0010,0.18752924135550855,0.25927291452070744,0.9181578947368421,0.9182173764857081,0.9185958974589926,0.9181578947368421,4.4476646184921265,42953316
3,0010,0.1043249728919007,0.29078094304750574,0.9184210526315789,0.9182922788449523,0.918333192302284,0.9184210526315789,3.409996691503023,42953316
4,0010,0.055307860069194185,0.3418972005191095,0.9169736842105263,0.9169233120789171,0.916916731919964,0.9169736842105263,2.419515095259014,42953316
